system:index,NDVI,Relative Humidity,Soil Moisture,Temperature_2m,Wind Speed,fire_occurrence,.geo
84,0.19158470630645752,92.00647739974177,0.21109941560124237,273.8237340446033,1.7883557398114873,725.0,"{""type"":""Point"",""coordinates"":[-110.05556084486132,58.5823319778718]}"
91,0.2098066359758377,92.1973741492884,0.5193129230753023,272.77814359596204,1.6644595702950284,217.0,"{""type"":""Point"",""coordinates"":[-114.0037202466655,59.55620652869687]}"
93,0.21121178567409515,91.60393420792496,0.38009458793859335,275.5574864266683,1.7450363359887202,9637.0,"{""type"":""Point"",""coordinates"":[-119.13075340860287,56.17176412145647]}"
100,0.20419752597808838,92.23818374532438,0.21380768059349156,271.9712327051431,1.815116325880162,7691.0,"{""type"":""Point"",""coordinates"":[-110.37456339297867,59.96675692106597]}"
103,0.2341754287481308,92.15114440177709,0.5163424130799418,272.68237355801256,1.6545999371779245,270.0,"{""type"":""Point"",""coordinates"":[-114.40152706929764,59.905642659785975]}"
105,0.15611965954303741,91.86004549970775,0.200945202148655,272.5983009973337,1.7083063418974447,5580.666666666667,"{""type"":""Point"",""coordinates"":[-112.49434598789125,59.790452836925134]}"
106,0.19308240711688995,92.01402974674397,0.3372649763864434,275.6038718534301,1.8778239604660143,1401.0,"{""type"":""Point"",""coordinates"":[-116.46613451864293,56.170029166858974]}"
111,0.21421845257282257,92.17926892072079,0.5808640259917676,275.7629961807553,1.8278332993018287,1978.0,"{""type"":""Point"",""coordinates"":[-114.72148747951263,56.0122019939625]}"
117,0.20925618708133698,92.1159125332562,0.5181840596496261,273.0870283887489,1.5517244657431355,542.3333333333334,"{""type"":""Point"",""coordinates"":[-115.7441483842336,59.826489293155724]}"
139,0.22020076215267181,91.61264053029927,0.32491777619687123,276.81552555034284,1.8587701365850648,11041.0,"{""type"":""Point"",""coordinates"":[-116.21104722610465,55.158680900908]}"
143,0.24086667597293854,92.16693663550487,0.2882125275398092,275.6314206689357,1.8310720064563353,634.5,"{""type"":""Point"",""coordinates"":[-115.26951928985628,56.17386547876221]}"
152,0.17134521901607513,91.94141583194076,0.3026429393989675,274.38836864882086,1.802760652823076,75949.0,"{""type"":""Point"",""coordinates"":[-111.29457573510754,58.35848624395547]}"
154,0.21633417904376984,91.93643752895103,0.33789766990150494,275.9055976967438,1.781095152730225,1388.0,"{""type"":""Point"",""coordinates"":[-116.35278523511533,54.91635899604794]}"
157,0.16390740871429443,92.40033616021583,0.6017210789441576,273.0307936882882,1.8042431765524654,756.0,"{""type"":""Point"",""coordinates"":[-112.97114620558818,57.9012711459535]}"
189,0.13356655836105347,92.3623544606392,0.5324976340520339,271.95727863596954,1.707342539627842,794.5,"{""type"":""Point"",""coordinates"":[-114.43634248889582,59.52205602140702]}"
191,0.1812000721693039,91.44329767082323,0.2822295467007465,274.94726170431903,1.5665669338523482,9616.5,"{""type"":""Point"",""coordinates"":[-117.09523966073833,58.11415538343393]}"
208,0.14584772288799286,92.44390077077036,0.6006582333017394,272.5252314554592,1.8393839198263942,150.0,"{""type"":""Point"",""coordinates"":[-118.58124957995962,59.897748735373355]}"
214,0.2174198031425476,92.00360050815657,0.5310335911044294,275.20037859484216,1.6445803305000202,259.5,"{""type"":""Point"",""coordinates"":[-115.20839819217215,57.127405797790026]}"
220,0.20148371160030365,91.8416661020497,0.21351576106715928,274.24781319081393,1.7714180101590562,5416.0,"{""type"":""Point"",""coordinates"":[-110.78179833567961,58.2833332206801]}"
221,0.24718067049980164,91.90085138016443,0.30906709123263737,275.25744396834335,1.677293142273955,734.5,"{""type"":""Point"",""coordinates"":[-119.90215551869699,56.53352718572178]}"
